67	43	69	40	38	39	71	75	44	38	37	46	76	82	38	39	38	40	69	40	89	81	67	66	46	77	70	45	41	42	78	78	38	37	38	81	49	41	46	64	45	69	42	72	42	51	38	40	37	38	41	38	40	49	55	73	40	42	73	43	69	40	43	43	68	42	69	75	41	38	37	42	44	79	50	47	51	38	39	40	40	71	39	81	71	81	62	46	63	45	38	38	41	40	75	43	67	38	40	73	
70	40	40	37	40	41	40	40	37	38	38	39	40	37	40	38	39	38	38	41	40	39	40	38	37	40	38	39	40	37	40	38	39	38	38	41	40	39	40	38	41	38	38	37	40	39	40	38	39	38	38	39	40	39	40	38	39	40	38	37	40	39	42	38	37	38	38	39	42	37	40	38	37	38	40	41	42	35	40	40	37	40	38	38	42	39	42	38	41	40	40	38	40	41	40	38	41	38	38	38	
60	44	40	39	40	39	40	38	41	40	40	37	40	39	40	38	39	38	40	39	40	37	40	38	41	38	40	41	40	39	40	38	41	38	40	37	40	41	40	38	41	38	40	41	40	39	40	38	43	38	38	40	39	40	37	40	38	41	38	40	37	40	41	40	38	39	38	40	39	40	37	40	38	41	38	40	41	40	39	40	38	39	40	40	39	40	37	40	38	41	38	40	37	40	41	40	40	39	38	40	
70	42	39	38	38	43	40	41	38	40	41	38	38	39	40	43	38	40	37	38	38	41	40	39	38	40	39	38	40	43	40	41	38	40	41	38	40	43	40	41	38	40	41	38	40	39	40	43	38	40	41	38	40	39	40	43	38	42	37	38	40	39	40	43	38	42	37	38	40	39	40	43	38	42	37	38	40	41	40	37	38	42	37	38	40	41	40	37	38	42	37	38	40	41	40	37	38	40	43	38	
59	47	42	38	41	40	40	43	40	36	40	40	37	38	42	39	40	38	40	40	37	38	42	39	40	38	40	38	41	38	40	43	40	37	40	40	37	38	40	39	40	41	40	40	37	38	40	39	40	41	40	40	41	38	40	43	40	37	40	38	37	40	40	39	40	41	40	38	41	38	40	43	40	37	40	38	37	38	40	39	40	41	40	38	41	38	40	41	40	37	40	38	37	38	40	39	40	39	40	38	
53	41	40	41	38	38	41	38	40	41	38	39	40	38	41	38	40	41	38	37	40	38	37	38	40	39	38	37	40	38	37	38	40	37	38	39	40	38	37	38	40	37	38	39	40	38	39	40	40	37	38	39	40	38	39	40	40	39	38	37	40	38	39	40	40	39	38	39	40	38	39	40	40	39	38	39	40	38	39	40	40	39	38	37	40	38	39	40	40	39	38	39	40	38	39	40	40	39	38	39	
91	42	43	38	38	39	38	38	37	38	41	40	38	37	38	38	40	38	41	42	38	39	40	38	38	40	43	40	40	41	38	37	40	38	43	40	38	41	38	37	38	38	39	40	38	39	38	37	38	40	37	40	40	39	38	39	40	38	41	40	38	38	38	41	38	38	43	40	37	38	38	41	38	38	41	40	37	38	38	37	38	38	41	40	37	38	38	37	38	40	40	40	41	40	38	39	38	41	40	40	
64	38	42	39	51	38	38	39	46	48	40	41	46	37	40	40	41	38	38	43	50	40	39	40	76	40	51	39	42	40	55	44	58	40	41	40	43	43	40	42	43	42	44	49	46	40	41	45	50	42	41	44	76	50	50	49	38	38	41	40	58	45	46	38	43	38	40	43	42	44	39	83	50	52	46	71	49	44	48	37	44	46	43	39	44	48	45	44	42	39	54	44	41	55	44	50	41	42	46	47	
147	56	40	42	49	38	41	45	40	46	43	46	42	47	42	44	49	47	40	50	43	44	42	43	42	46	43	45	44	44	37	46	44	43	50	46	39	40	38	41	38	38	41	48	50	43	38	46	43	38	44	79	43	40	40	51	46	76	38	41	46	44	38	40	42	39	40	42	37	38	42	45	40	42	37	46	40	39	42	48	43	40	38	41	48	38	39	46	40	39	42	47	38	48	38	41	40	37	43	44	
61	40	40	41	38	40	41	38	39	38	38	39	40	38	41	38	39	40	40	41	40	40	39	38	39	40	38	39	42	38	41	40	39	42	40	41	40	40	39	40	39	40	38	39	42	38	41	40	37	42	40	41	40	40	41	40	37	40	38	41	42	38	43	40	39	42	40	43	40	38	38	40	39	40	38	41	40	36	40	40	39	40	40	43	38	37	38	40	37	38	38	39	40	37	40	38	37	40	40	39	
